# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxNativeBytes,1704662035554000000,1704662095607000000,-1
JVM.GC.collections,1704662035554000000,1704662095607000000,49
JVM.usedHeapBytes,1704662035554000000,1704662095607000000,369145920
JVM.threadCount,1704662035554000000,1704662095607000000,148
OS.loadAverage,1704662035554000000,1704662095607000000,-1.0
JVM.usedNativeBytes,1704662035554000000,1704662095607000000,330727072
JVM.maxHeapBytes,1704662035554000000,1704662095607000000,1572864000
JVM.totalBytesAllocated,1704662035554000000,1704662095607000000,4853977224
JVM.totalCpuTimeMs,1704662035554000000,1704662095607000000,181640
JVM.GC.collectionTimesMs,1704662035554000000,1704662095607000000,994
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1704662035554000000,1704662095607000000,2627221
FilePageCacheLockFree.totalPagesReadMs,1704662035554000000,1704662095607000000,5
StorageLockContext.competingThreads.max,1704662035554000000,1704662095607000000,0
FilePageCache.pageFastCacheHits,1704662035554000000,1704662095607000000,311212
StorageLockContext.competingThreads.90P,1704662035554000000,1704662095607000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1704662035554000000,1704662095607000000,0
FilePageCache.disposedBuffers,1704662035554000000,1704662095607000000,3
FilePageCacheLockFree.nativeBytesInUse,1704662035554000000,1704662095607000000,65536
MappedFileStorage.totalTimeSpentOnMappingUs,1704662035554000000,1704662095607000000,1200903
StreamlinedBlobStorage.recordsAllocated,1704662035554000000,1704662095607000000,165363
FilePageCacheLockFree.totalHeapBytesReclaimed,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1704662035554000000,1704662095607000000,0
MappedFileStorage.storages,1704662035554000000,1704662095607000000,16
FilePageCacheLockFree.totalPagesReclaimed,1704662035554000000,1704662095607000000,0
FilePageCache.maxRegisteredFiles,1704662035554000000,1704662095607000000,293
DirectByteBufferAllocator.reclaimed,1704662035554000000,1704662095607000000,3
DirectByteBufferAllocator.misses,1704662035554000000,1704662095607000000,207
FilePageCacheLockFree.heapBytesInUse,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.totalPagesWritten,1704662035554000000,1704662095607000000,1
FilePageCacheLockFree.housekeeperTurnsDone,1704662035554000000,1704662095607000000,118
FilePageCacheLockFree.totalPagesRequestsMs,1704662035554000000,1704662095607000000,8
StreamlinedBlobStorage.recordsRelocated,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.totalBytesWritten,1704662035554000000,1704662095607000000,8
DirectByteBufferAllocator.disposed,1704662035554000000,1704662095607000000,0
FilePageCache.totalPageDisposalsUs,1704662035554000000,1704662095607000000,1551
FilePageCache.capacityInBytes,1704662035554000000,1704662095607000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1704662035554000000,1704662095607000000,1
FilePageCacheLockFree.totalNativeBytesAllocated,1704662035554000000,1704662095607000000,65536
FilePageCache.pageHits,1704662035554000000,1704662095607000000,35300
FilePageCacheLockFree.totalHeapBytesAllocated,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1704662035554000000,1704662095607000000,724
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1704662035554000000,1704662095607000000,11899130
FilePageCache.maxCacheSizeInBytes,1704662035554000000,1704662095607000000,198262784
FilePageCache.totalPageLoadsUs,1704662035554000000,1704662095607000000,1780836
FilePageCacheLockFree.housekeeperTurnsSkipped,1704662035554000000,1704662095607000000,30119
StreamlinedBlobStorage.recordsDeleted,1704662035554000000,1704662095607000000,52
FilePageCacheLockFree.totalBytesRead,1704662035554000000,1704662095607000000,23851
MappedFileStorage.totalBytesMapped,1704662035554000000,1704662095607000000,149159936
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1704662035554000000,1704662095607000000,198328320
FilePageCacheLockFree.totalClosedStoragesReclaimed,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1704662035554000000,1704662095607000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1704662035554000000,1704662095607000000,0
FilePageCacheLockFree.totalPagesAllocated,1704662035554000000,1704662095607000000,8
FilePageCacheLockFree.totalBytesRequested,1704662035554000000,1704662095607000000,2654208
FilePageCache.uncachedFileAccess,1704662035554000000,1704662095607000000,427
FilePageCacheLockFree.totalPagesRequested,1704662035554000000,1704662095607000000,324
DirectByteBufferAllocator.hits,1704662035554000000,1704662095607000000,3
FilePageCacheLockFree.totalPagesHandedOver,1704662035554000000,1704662095607000000,0
FilePageCache.pageLoads,1704662035554000000,1704662095607000000,202
StorageLockContext.competingThreads.avg,1704662035554000000,1704662095607000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1704662035554000000,1704662095607000000,0
MappedFileStorage.totalPagesMapped,1704662035554000000,1704662095607000000,18
workspaceModel.delayed.project.synchronizer.sync.ms,1704662035554000000,1704662095607000000,835
jps.facet.change.listener.init.bridge.ms,1704662035554000000,1704662095607000000,0
workspaceModel.load.cache.metadata.from.file.ms,1704662035554000000,1704662095607000000,173
jps.reload.project.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.sync.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1704662035554000000,1704662095607000000,48
jps.apply.loaded.storage.ms,1704662035554000000,1704662095607000000,514
jps.facet.change.listener.before.change.events.ms,1704662035554000000,1704662095607000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1704662035554000000,1704662095607000000,0
workspaceModel.global.apply.state.to.project.ms,1704662035554000000,1704662095607000000,66
jps.project.serializers.load.ms,1704662035554000000,1704662095607000000,110
jps.module.iml.entities.serializer.save.entities.ms,1704662035554000000,1704662095607000000,0
jps.global.initialize.library.bridges.after.loading.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1704662035554000000,1704662095607000000,19
jps.save.global.entities.ms,1704662035554000000,1704662095607000000,2
jps.storage.jps.conf.reader.load.component.ms,1704662035554000000,1704662095607000000,19
jps.global.initialize.library.bridges.ms,1704662035554000000,1704662095607000000,1
jps.library.entities.serializer.load.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.save.cache.to.file.ms,1704662035554000000,1704662095607000000,380
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1704662035554000000,1704662095607000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704662035554000000,1704662095607000000,69
jps.library.entities.serializer.save.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1704662035554000000,1704662095607000000,294
jps.facet.change.listener.process.change.events.ms,1704662035554000000,1704662095607000000,1
jps.app.storage.content.writer.save.component.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704662035554000000,1704662095607000000,6
workspaceModel.moduleBridgeLoader.loading.modules.ms,1704662035554000000,1704662095607000000,4893
workspaceModel.moduleBridge.facet.initialization.ms,1704662035554000000,1704662095607000000,1
jps.artifact.entities.serializer.save.entities.ms,1704662035554000000,1704662095607000000,0
jps.global.get.library.by.name.ms,1704662035554000000,1704662095607000000,0
jps.module.iml.entities.serializer.load.entities.ms,1704662035554000000,1704662095607000000,50
jps.load.project.to.empty.storage.ms,1704662035554000000,1704662095607000000,136
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1704662035554000000,1704662095607000000,0
jps.app.storage.content.reader.load.component.ms,1704662035554000000,1704662095607000000,0
workspaceModel.orphan.listener.update.ms,1704662035554000000,1704662095607000000,5
